0,1
93,51
75,24
1,47
60,23
17,5
52,9
30,29
28,87
70,96
96,27
23,58
59,7
12,76
83,16
41,79
72,91
15,70
36,3
11,99
16,8
90,77
5,15
65,21
40,88
8,32
3,65
10,46
7,44
21,72
82,68
38,6
26,19
81,11
39,54
87,17
94,59
74,45
89,20
71,13
79,61
76,18
97,22
67,4
95,38
54,85
13,64
85,0
86,90
69,67
73,78
25,1
92,14
62,35
98,28
66,30
35,34
14,81
20,63
31,66
48,97
63,52
0,53
99,92
88,62
50,39
58,69
55,49
45,40
22,93
91,10
9,57
24,33
2,48
33,82
19,74
84,98
29,94
43,83
4,41
37,71
18,56
80,84
53,80
34,60
77,26
51,89
6,42
49,95
56,31
42,37
32,25
46,55
27,75
44,50
64,86
57,2
47,36
61,73
68,12
78,43
